상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
맘스터치광장동점,서울특별시 광진구 아차산로 502 (광장동) 1층,음식,기타 간이,버거,127.097219475403,37.5413477586036,서울특별시 광진구 아차산로 502,2024-07-01,매우우수
한국맥도날드어린이대공원점,서울특별시 광진구 광나루로 392 (화양동) 1층,음식,기타 간이,피자,127.073110915972,37.5472971436882,서울특별시 광진구 광나루로 392,2023-08-07,매우우수
맥도날드어린이대공원점,서울특별시 광진구 광나루로 392 (화양동) 1층,음식,기타 간이,피자,127.073110915972,37.5472971436882,서울특별시 광진구 광나루로 392,2023-08-07,매우우수
메가엠지씨커피자양 시장점,서울특별시 광진구 자양로15길 18 (자양동) 1층,음식,비알코올 ,카페,127.082531430662,37.5358102146815,서울특별시 광진구 자양로15 길 18,2024-07-04,매우우수
메가엠지씨커피올림픽대교북단점,서울특별시 광진구 아차산로 481 (구의동) 1층,음식,비알코올 ,카페,127.094938345104,37.5409608651612,서울특별시 광진구 아차산로 481,2023-07-18,매우우수
배스킨라빈스건대스타시티점,서울특별시 광진구 아차산로 262 (자양동),음식,기타 간이,아이스크림/빙수,127.072944230258,37.5369968145663,서울특별시 광진구 아차산로 262,2023-10-19,좋음
배스킨라빈스화양,서울특별시 광진구 광나루로 361 (군자동) 1층,음식,기타 간이,아이스크림/빙수,127.069724520217,37.5484238574589,서울특별시 광진구 광나루로 361,2024-06-13,매우우수
배스킨라빈스건대동문회관점,서울특별시 광진구 아차산로 288 (자양동) 1층,음식,기타 간이,아이스크림/빙수,127.074895965984,37.5383817201642,서울특별시 광진구 아차산로 288,2024-06-10,우수
배스킨라빈스광나루역점,서울특별시 광진구 아차산로 608 (광장동) 1층,음식,기타 간이,아이스크림/빙수,127.106510409822,37.5469869344837,서울특별시 광진구 아차산로 608,2023-06-14,매우우수
배스킨라빈스구의,서울특별시 광진구 광나루로 527 (구의동) 1층,음식,기타 간이,아이스크림/빙수,127.088256331637,37.5451444091447,서울특별시 광진구 광나루로 527,2024-02-10,매우우수
