지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2023-09-06,매우우수,익선동창화당,최*업,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동 
식품의약품안전처,2023-09-10,매우우수,일리카페롯데백화점건대스타시티점,조*기,서울특별시 광진구 능동로 92(롯데백화점 1층 자양동),휴게음식점,자양동 
식품의약품안전처,2023-09-16,매우우수,정담샤브연롯데백화점스타시티점,이*현,서울특별시 광진구 능동로 92(10층 자양동),일반음식점,자양동 
식품의약품안전처,2024-07-29,우수,정직유부 건대점,최*란,서울특별시 광진구 능동로 135-1(1층 화양동),휴게음식점,화양동
식품의약품안전처,2024-03-04,매우우수,젠젠건대스타시티점,박*우 외 1명,서울특별시 광진구 능동로 92(롯데백화점 2층 자양동),일반음식점,자양동
식품의약품안전처,2023-07-06,좋음,주식회사 푸드닥터에프앤비,김*완,서울특별시 광진구 능동로17길 18(2층 화양동),일반음식점,화양동 
식품의약품안전처,2024-03-26,매우우수,주식회사설빙건대지점,김*열,서울특별시 광진구 아차산로 225(단산화빌딩 2층 화양동),일반음식점,화양동
식품의약품안전처,2023-09-10,매우우수,주식회사해초섬롯데건대스타시티,박*철,서울특별시 광진구 능동로 92(10층 자양동),일반음식점,자양동 
식품의약품안전처,2024-07-04,매우우수,죽 이야기 자양1점,석*수,서울특별시 광진구 자양로15길 67(자양동),일반음식점,자양동
식품의약품안전처,2024-09-12,우수,차이(chai)797건대스타시티점,신*호,"서울특별시 광진구 아차산로 272(더샵스타시티 스타시티쇼핑몰동 지하1층 B120,B121,B122호 자양동)",일반음식점,자양동
식품의약품안전처,2024-11-04,매우우수,차이홍짬뽕 스타시티점,김*현,서울특별시 광진구 능동로 92(지하1층 자양동),일반음식점,자양동
식품의약품안전처,2024-06-21,매우우수,찬합 롯데건대스타시티점,김*일,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동 
식품의약품안전처,2024-05-08,매우우수,청년피자 구의직영점,정*영,서울특별시 광진구 구의강변로 85(강우빌딩 1층 구의동),일반음식점,구의동
식품의약품안전처,2024-05-08,매우우수,청년피자 중곡직영점,정*영,서울특별시 광진구 능동로 356(1층 중곡동),일반음식점,중곡동
식품의약품안전처,2024-10-23,매우우수,카츠헤세드 어린이대공원점,이*우,서울특별시 광진구 능동로 246(2층 능동),일반음식점,능동
식품의약품안전처,2024-11-08,매우우수,카페공오일 자양점,김*진,서울특별시 광진구 뚝섬로 552(삼희빌딩 1층 110호 자양동),휴게음식점,자양동
식품의약품안전처,2025-01-14,매우우수,카페차이 롯데백화점 건대스타시티점,강*우,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동
식품의약품안전처,2024-07-01,매우우수,컴포즈커피 건대양꼬치거리점,고*지,서울특별시 광진구 동일로18길 62(1층 자양동),휴게음식점,자양동
식품의약품안전처,2024-01-26,매우우수,컴포즈커피건대스타시티몰점,강*훈,서울특별시 광진구 능동로 110(스타시티영존빌딩 지하2층 B213호 화양동),휴게음식점,화양동 
식품의약품안전처,2024-04-23,좋음,코코이찌방야건대스타시티점,이*학,"서울특별시 광진구 아차산로 272(자양동, 지하)",일반음식점,자양동
식품의약품안전처,2023-09-04,우수,크리스피크림건대스타시티점,차*철,"서울특별시 광진구 아차산로 262(지하1층 자양동, 더샵스타시티)",제과점영업,자양동 
식품의약품안전처,2024-11-11,매우우수,탕화쿵푸마라탕 건대입구점,SONG J*****,서울특별시 광진구 아차산로 244(2층 제나 2호 자양동),일반음식점,자양동
