지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2024-05-08,우수,베스킨라빈스 아차산역점,박*식,"서울특별시 광진구 천호대로 659(구의동,1층)",휴게음식점,구의동
식품의약품안전처,2024-05-14,매우우수,베스킨라빈스 자양점,서*원,서울특별시 광진구 뚝섬로 552(자양동),휴게음식점,자양동 
식품의약품안전처,2023-10-06,매우우수,베스킨라빈스(건대역점),장*주,서울특별시 광진구 능동로 115(화양동),휴게음식점,화양동 
식품의약품안전처,2024-06-30,우수,베스킨라빈스광장현대점,김*연 외 1명,"서울특별시 광진구 아차산로 494(광장동,1층)",휴게음식점,광장동 
식품의약품안전처,2023-09-10,매우우수,베스킨라빈스구의역점,황*애,"서울특별시 광진구 아차산로 375(구의동,크레신타워105호,106호)",휴게음식점,구의동 
식품의약품안전처,2023-10-06,매우우수,베스킨라빈스군자점,정*숙,"서울특별시 광진구 천호대로 548(군자동,1층)",휴게음식점,군자동 
식품의약품안전처,2023-03-09,우수,벤티프레소 중곡점,이*미,서울특별시 광진구 용마산로 52(1층 중곡동),휴게음식점,중곡동 
식품의약품안전처,2025-01-24,우수,부대장 인(印),허*행,서울특별시 광진구 긴고랑로13길 47(1층 중곡동),일반음식점,중곡동
식품의약품안전처,2024-09-23,매우우수,불닭발동대문엽기떡볶이(중곡점),오*옥,서울특별시 광진구 면목로 137-1(1층 중곡동),일반음식점,중곡동
식품의약품안전처,2024-10-23,매우우수,비비큐 구의광나루점,김*석,"서울특별시 광진구 광나루로 545(에이동 1층 4호 구의동, 래미안파크스위트)",일반음식점,구의동
식품의약품안전처,2025-01-22,좋음,비비큐(BBQ)중곡3동점,백*환,서울특별시 광진구 면목로 190(1층 중곡동),일반음식점,중곡동
식품의약품안전처,2023-03-09,매우우수,비에이치씨 구의점,이*재 외 1명,서울특별시 광진구 구의로 40(1층 102호 구의동),일반음식점,구의동 
식품의약품안전처,2023-09-18,우수,비에이치씨(BHC)광나루점,박*준,서울특별시 광진구 아차산로 503-23(광장동),일반음식점,광장동 
식품의약품안전처,2023-07-04,우수,비에이치씨(BHC)자양뚝섬점,최*규 외 1명,서울특별시 광진구 뚝섬로 676(자양동),일반음식점,자양동 
식품의약품안전처,2023-07-18,매우우수,비에이치씨(BHC)치킨,김*석,서울특별시 광진구 용마산로 84(1층 중곡동),일반음식점,중곡동 
식품의약품안전처,2023-04-09,좋음,비에이치씨중곡대박,정*경,서울특별시 광진구 긴고랑로13길 82(1층 중곡동),일반음식점,중곡동 
식품의약품안전처,2024-07-11,매우우수,빕스어린이대공원점,김*호,서울특별시 광진구 광나루로 410(KCC파크타운 2층 화양동),일반음식점,화양동 
식품의약품안전처,2024-03-02,매우우수,빠빠킹돈까스&쫄면구역,염*석,서울특별시 광진구 능동로 92(롯데백화점 10층 자양동),일반음식점,자양동 
식품의약품안전처,2024-06-17,매우우수,빽다방 광진이튼1차점,정*원,"서울특별시 광진구 능동로 68(1층 114호 자양동, 이튼타워리버1차)",휴게음식점,자양동
식품의약품안전처,2023-02-10,매우우수,빽다방 구의중앙점,김*정 외 1명,서울특별시 광진구 구의로 6(1층 일부호 구의동),휴게음식점,구의동 
식품의약품안전처,2023-10-16,매우우수,빽다방 군자역점,유*숙,서울특별시 광진구 능동로35길 7(1층 군자동),휴게음식점,군자동 
식품의약품안전처,2024-01-26,매우우수,빽다방 자양전통시장점,박*민,"서울특별시 광진구 자양로15길 52(1층 101호 자양동, 아트하임 기흥)",휴게음식점,자양동 
식품의약품안전처,2023-05-26,매우우수,빽보이피자건대점,김*정,서울특별시 광진구 능동로13길 54(1층 화양동),일반음식점,화양동 
식품의약품안전처,2024-04-24,매우우수,샤브퀴진,김*승,"서울특별시 광진구 능동로 92(자양동, 롯데백화점 지하1층)",휴게음식점,자양동
식품의약품안전처,2023-09-10,매우우수,선호에프엔비건대스타시티점(속초코다리냉면),김*범,서울특별시 광진구 능동로 92(지1층 자양동),일반음식점,자양동 
식품의약품안전처,2024-05-02,매우우수,수비드 김치찜 세종대점,박*하,서울특별시 광진구 군자로 35(1층 화양동),일반음식점,화양동
식품의약품안전처,2024-07-28,매우우수,스쿨푸드딜리버리자양점,이*석,서울특별시 광진구 뚝섬로 665-1(1층 자양동),일반음식점,자양동 
식품의약품안전처,2024-09-14,매우우수,스타벅스 건국클래식점,손*현,서울특별시 광진구 능동로 90(1층 자양동),휴게음식점,자양동 
식품의약품안전처,2023-12-27,매우우수,스타벅스 건대스타씨티점,손*현,서울특별시 광진구 아차산로 262(자양동),휴게음식점,자양동 
식품의약품안전처,2024-10-05,매우우수,스타벅스 광장점,손*현,서울특별시 광진구 아차산로 537-17(1층 광장동),휴게음식점,광장동 
식품의약품안전처,2023-12-27,매우우수,스타벅스 어린이대공원역점,손*현,"서울특별시 광진구 능동로 243(1,2,3층 군자동)",휴게음식점,군자동 
